,$type,title,hidden,translationSetId,language,id,created,modified,createdBy,modifiedBy,hasDynamicValueTags
62,"Museumvereniging.Persistent.Domain.Items.Topic, Museumvereniging.Persistent.Domain",boerenleven,True,2f892f36-e237-4fd7-b519-fd4136488cad,nl,c6ee0b12-b3e6-4d35-44e9-08d818f2d502,2020-06-25T10:30:50.7356655+00:00,2020-07-16 08:32:04.355724700+00:00,,,False
63,"Museumvereniging.Persistent.Domain.Items.Topic, Museumvereniging.Persistent.Domain",videokunst,True,bfc7180b-ac59-494b-b8f4-f0b2055f61e6,nl,bea0cbf5-db3d-4b73-b79c-08d81a06b873,2020-06-26T19:25:58.5420498+00:00,2020-07-16 08:29:02.332291100+00:00,,,False
64,"Museumvereniging.Persistent.Domain.Items.Topic, Museumvereniging.Persistent.Domain",Tweede Wereldoorlog,True,e3c3f47c-4ca6-4712-a44f-debdd9b9b71b,nl,865274e9-f3d7-4b4d-d009-08d81b747ef5,2020-06-28T15:04:03.2636251+00:00,2020-07-16 08:30:47.335741600+00:00,,,False
65,"Museumvereniging.Persistent.Domain.Items.Topic, Museumvereniging.Persistent.Domain",papier,True,668bd0bb-a526-4a0b-b459-f063eefb2674,nl,e8cdfa06-fb72-43ed-cde3-08d81cd5f4f4,2020-06-30T11:36:14.7302295+00:00,2020-07-13 14:45:20.191135100+00:00,,,False
66,"Museumvereniging.Persistent.Domain.Items.Topic, Museumvereniging.Persistent.Domain",video,True,bd2ff24d-e0f4-4368-97d7-e7b0ca2b1eb3,nl,1996e148-42e5-40c9-cde4-08d81cd5f4f4,2020-06-30T11:36:46.907129+00:00,2020-07-13 14:45:25.935739400+00:00,,,False
67,"Museumvereniging.Persistent.Domain.Items.Topic, Museumvereniging.Persistent.Domain",multimedia,True,468d1383-f872-4a1a-a872-53a28f29d5c0,nl,0f81586f-9052-43ae-cde6-08d81cd5f4f4,2020-06-30T11:37:40.1068797+00:00,2020-07-13 14:45:55.715447+00:00,,,False
68,"Museumvereniging.Persistent.Domain.Items.Topic, Museumvereniging.Persistent.Domain",keramiek,True,779450a5-6843-40ea-8ae6-0412b87e4ef1,nl,a41a4c0f-6ae3-4d1e-cde8-08d81cd5f4f4,2020-06-30T11:38:27.3457885+00:00,2020-07-13 14:46:01.346088700+00:00,,,False
69,"Museumvereniging.Persistent.Domain.Items.Topic, Museumvereniging.Persistent.Domain",muziek,True,44d6331f-a03b-4f7f-9d2d-10bd94d3b177,nl,85f3e5ed-0327-4341-cdf0-08d81cd5f4f4,2020-07-01T11:45:37.7934682+00:00,2020-07-23 14:36:13.834160300+00:00,,,False
70,"Museumvereniging.Persistent.Domain.Items.Topic, Museumvereniging.Persistent.Domain",onderwijs,True,76f61c85-675d-497b-9574-cefb10e1d9cd,nl,24b50e7f-2961-4cf2-9060-08d82281c883,2020-07-07T14:27:06.9635254+00:00,2020-07-13 14:47:12.850074800+00:00,,,False
71,"Museumvereniging.Persistent.Domain.Items.Topic, Museumvereniging.Persistent.Domain",oorlog,True,22eb811c-0c63-48ab-91cd-8b314b26a902,nl,901c0b30-58c2-4694-9061-08d82281c883,2020-07-07T14:27:23.2509826+00:00,2020-07-13 14:47:18.754289500+00:00,,,False
72,"Museumvereniging.Persistent.Domain.Items.Topic, Museumvereniging.Persistent.Domain",religie,True,f5315c98-35e6-43f5-a739-62368feac7d3,nl,d5206ca7-ccfc-4c9a-9062-08d82281c883,2020-07-07T14:28:16.3915414+00:00,2020-07-13 14:47:24.641954400+00:00,,,False
73,"Museumvereniging.Persistent.Domain.Items.Topic, Museumvereniging.Persistent.Domain",moderne kunst,True,46fa12c5-d3b5-4a76-984f-8c892adecf89,nl,e0195e8e-a07e-4929-97ee-08d827e04c5f,2020-07-14T10:25:58.014397+00:00,2020-07-14 10:25:58.042202+00:00,,,False
74,"Museumvereniging.Persistent.Domain.Items.Topic, Museumvereniging.Persistent.Domain",archeologie,True,1cdf7bd4-0ce2-4dad-987c-9fecf900321b,nl,a267f70d-6619-4eba-97ef-08d827e04c5f,2020-07-16T08:33:56.351678+00:00,2020-07-22 09:01:25.754045800+00:00,,,False
75,"Museumvereniging.Persistent.Domain.Items.Topic, Museumvereniging.Persistent.Domain",prehistorie,True,4de81e13-0b6a-4c15-b0fa-61de2c181693,nl,225e68fe-7a92-42ea-9646-08d82d534acd,2020-07-21T08:51:43.3267993+00:00,2020-07-21 08:51:43.345330900+00:00,,,False
76,"Museumvereniging.Persistent.Domain.Items.Topic, Museumvereniging.Persistent.Domain",beeldende kunst,True,8f852113-6b97-421f-8703-cb9042cfaf0a,nl,25efda4e-77fa-421e-9648-08d82d534acd,2020-07-21T08:56:02.7062703+00:00,2020-07-21 08:56:03.033060600+00:00,,,False
77,"Museumvereniging.Persistent.Domain.Items.Topic, Museumvereniging.Persistent.Domain",design,True,d67678cf-21e9-49ef-815d-d3e5720a29bc,nl,943647db-7ab6-4b88-9649-08d82d534acd,2020-07-21T08:56:12.4877616+00:00,2020-07-21 08:56:12.499726900+00:00,,,False
78,"Museumvereniging.Persistent.Domain.Items.Topic, Museumvereniging.Persistent.Domain",identiteit,True,61cf454d-0203-464e-8c9a-64c58d552b7a,nl,f0248239-f9d4-4320-964a-08d82d534acd,2020-07-21T09:00:38.0458535+00:00,2020-07-21 09:00:38.059630500+00:00,,,False
