,publicName,translationSetId,rating,architectonic,educative,historic_location,historic_museum,castles,churches,children,art_galleries,art_museum,military,specialty,gardens,science,museumId,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,visual,culture,naval,nature,tech,ethnology,small_museum,zero_four,five_eight,nine_twelve,activity,audiotour,exhibition,lecture,scavenger,library,openair,parking,weelchair,disabled,trainstation,restaurant
66,De Halve Maen,1f01f088-0457-4040-af17-9d1a561bdb5e,77.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0ea231d3-4966-44f1-afb0-08d7f60b9c3e,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
67,Touwmuseum 'De Baanschuur',1f6ef423-bb3e-44e9-b94b-46a0d123b2d4,15.0,0,0,0,0,0,0,0,0,0,0,1,0,0,349dd439-340c-46e4-b148-08d7f60b9c3e,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
68,Hermitage Amsterdam,1f85673a-ba18-4aaf-821a-baf56c7efea7,2.363,0,0,0,0,0,0,0,0,1,0,0,0,0,826b91cd-0105-4350-afda-08d7f60b9c3e,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0
69,Rijksmuseum Muiderslot,1f8bb764-3a9f-4159-b775-829e80c953a2,711.0,0,0,0,0,1,0,0,0,0,0,0,0,0,d64772bf-3255-4ccb-b12b-08d7f60b9c3e,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0
70,Museum Buurt Spoorweg,20628449-0dbc-4438-ba1f-39e07e250549,48.0,0,0,0,0,0,0,0,0,0,0,1,0,0,c893b2b5-9086-48d4-b039-08d7f60b9c3e,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
71,Fries Verzetsmuseum,209fe943-8c16-4342-888c-d752adc50e82,72.0,0,0,0,1,0,0,0,0,0,0,0,0,0,384e7920-36a1-42dd-afc6-08d7f60b9c3e,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
72,Oorlogsmuseum Overloon,20dd4b53-05a1-4fd1-9ff7-4d936ac4afee,575.0,0,0,0,0,0,0,0,0,0,1,0,0,0,fa7deab2-b8fe-4d11-b0bf-08d7f60b9c3e,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1
73,Het Nederlands Vestingmuseum,22e6f305-c108-4045-839d-ff2f685eea26,149.0,0,0,0,0,0,0,0,0,0,0,0,0,0,45b64ec3-a840-4c92-afde-08d7f60b9c3e,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
74,Nationaal Sleepvaart Museum,2315fd34-5472-443f-a6ee-29751ccc8a51,28.0,0,0,0,0,0,0,0,0,0,0,1,0,0,ea31629b-b17f-4f13-b125-08d7f60b9c3e,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
75,Nationaal Onderduikmuseum,23eaf7fc-a6ca-40a3-87c5-257dca174595,26.0,0,0,0,1,0,0,0,0,0,0,0,0,0,32fa5fba-1a39-4098-b0a1-08d7f60b9c3e,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0
76,Museum Tweestromenland,256e0b91-3cfb-49fa-bf70-3b58f519938b,29.0,0,0,0,1,0,0,0,0,0,0,0,0,0,37bb5943-9907-4b5b-b13a-08d7f60b9c3e,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
77,nijntje museum,256e34c7-98a0-4501-9d17-36f1cc5b0c85,395.0,0,0,0,0,0,0,0,0,0,0,1,0,0,a856d350-b1f8-40fa-b0bb-08d7f60b9c3e,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
78,Het Hollands Kaasmuseum,26c2190e-b323-4ba1-8380-8a0d150cff6f,229.0,0,0,0,0,0,0,0,0,0,0,1,0,0,a2c28f99-9830-4639-afdd-08d7f60b9c3e,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
79,Heiligenbeeldenmuseum,2725e4ae-3118-48ba-85d9-9b6b646fb7ab,144.0,0,0,0,1,0,0,0,0,0,0,0,0,0,a8cc9dff-26da-4f12-afd8-08d7f60b9c3e,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
80,Streekmuseum Krimpenerwaard,272c721b-d6d3-4e83-965a-6cadcb6a8eeb,10.0,0,0,0,1,0,0,0,0,0,0,0,0,0,54e6ed83-ba76-4bf3-b13e-08d7f60b9c3e,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
