,publicName,translationSetId,small_museum,visual,culture,naval,nature,tech,ethnology,architectonic,educative,art_museum,historic_museum,science,military,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,art_galleries,historic_location,castles,churches,children,gardens,audiotour,exhibition,lecture,scavenger,library,openair,parking,weelchair,disabled,trainstation,restaurant
76,Museum Tweestromenland,256e0b91-3cfb-49fa-bf70-3b58f519938b,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
77,nijntje museum,256e34c7-98a0-4501-9d17-36f1cc5b0c85,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
78,Het Hollands Kaasmuseum,26c2190e-b323-4ba1-8380-8a0d150cff6f,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
79,Heiligenbeeldenmuseum,2725e4ae-3118-48ba-85d9-9b6b646fb7ab,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
80,Streekmuseum Krimpenerwaard,272c721b-d6d3-4e83-965a-6cadcb6a8eeb,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
81,Stedelijk Museum Kampen,276fc4e9-2dcb-4bf7-884c-286c8ebc9865,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
82,Museum Sterrenwacht Sonnenborgh,27b9e34f-c9da-47d5-a22e-d5140b9b0d18,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
83,DAF Museum,2873d968-6b2d-49dc-8103-a5e1be56f5ae,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
84,Speelgoed en Carnavalsmuseum Op Stelten,28a01a21-e5f1-46b4-ba15-66b3e3af9c1a,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
85,De Museumfabriek,2a3a81ef-29ee-44f9-9367-26f890075735,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
