publicName,rating,Architectonische bezienswaardigheden,Bezienswaardigheden & bijzondere plaatsen,Educatieve locaties,Historische locaties,Historische musea,Kastelen,Kerken & kathedralen,Kindermusea,Kunstgalerieën,Kunstmusea,Militaire musea,Natuurhistorische musea,Specialiteitenmusea,Tuinen,Wetenschapsmusea,museumId,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,translationSetId,Visitors,Visual,Culture,Naval,Nature,Tech,Ethnology,small_museum,amsterdam,utrecht,den haag,leiden,arnhem,groningen,rotterdam,limburg,friesland,gelderland,drenthe,kasteel,ZeroToFourYears,FiveToEightYears,NineToTwelveYears,Activity,Audiotour,Childrensparty,Event,Exhibition,Lecture,Other,ScavengerHunt,Tour,ticketprice,zaterdagen,zondagen
Bakkerijmuseum De Oude Bakkerij,43 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,c2f520eb-4ac3-4bef-af96-08d7f60b9c3e,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,61b12cb1-03ba-4818-b2a1-031d93ae56b1,50000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,11:00-17:00,11:00-17:00
Kasteel Doornenburg,55 ,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e1657fa-0299-4ddf-af97-08d7f60b9c3e,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30f51fcc-b373-4b85-9ba0-40d958542540,15000.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,9.95,10:30-18:00,10:30-18:00
Belasting & Douane Museum,36 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bfb74b91-9e53-4486-af98-08d7f60b9c3e,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,a42cba4d-03ab-449a-8fb5-a24fb363afa5,17500.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,7.5,11:00-17:00,11:00-17:00
Betje Wolff Museum,10 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,c33c32da-33c8-437c-af99-08d7f60b9c3e,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,42890c86-06cd-4ea5-a170-57c95dbfd26a,3900.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,14:00-17:00
Bevrijdingsmuseum Zeeland,43 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5802b791-6451-4a90-af9a-08d7f60b9c3e,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6a361bf8-811f-4b1f-889c-b6035e1aadb1,25000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,10:00-17:00,0
Biesbosch MuseumEiland,118 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,d914cdf1-e612-4c30-af9b-08d7f60b9c3e,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,f61643e5-0237-4536-90ef-d3e8f721de21,20000.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,11:00-17:00,11:00-17:00
Boerderijmuseum ''De Bovenstreek'',107 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0cd6f43e-e831-4b55-af9c-08d7f60b9c3e,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,eb6494bd-1744-4f74-889e-a18a27d8aae2,14245.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0
Bonnefanten,479 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,381f0ad1-fdce-44e5-af9d-08d7f60b9c3e,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,683844c9-9eb9-4adc-9f21-910cbeebe9dc,101000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,14.0,0,0
Botanische Tuin De Kruidhof,248 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3a90d705-427e-47f9-af9e-08d7f60b9c3e,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,b0654f59-55d5-4c74-8420-3d3938f861e2,19000.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.5,0,0
Botanische Tuin TU Delft,96 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8446d1fa-515c-480a-af9f-08d7f60b9c3e,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38a216ca-1fee-45de-9b0a-ae857342d0c0,32000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,10:00-17:00,12:00-17:00
